position,title
Q332711,President
Q796897,Prime Minister
Q658082,Minister of Agriculture
Q55096558,Minister of Budget
Q25514257,Minister of Communications
Q28002426,Minister of Cultural Heritage and Activities and Tourism
Q1538785,Minister of Defence
Q105541338,Minister for Disabilities
Q108128155,Minister of the Ecological Transition
Q27991508,Minister of Economic Development
Q28002382,Minister of Economy and Finance
Q34153264,Minister of Education
Q3721646,"Minister of Education, Universities and Research"
Q32137240,Minister of the Environment
Q55074659,Minister for Equal Opportunities
Q55045454,Minister of Family
Q55121922,Minister for Family and Social Solidarity
Q55087463,Minister of Finance
Q27991492,Minister of Foreign Affairs
Q55075675,Minister of Foreign Trade
Q27795992,Minister of Health
Q6092842,Minister of Infrastructures
Q55024178,Minister for Institutional Reforms
Q55065187,Minister for Integration of the Republic
Q1541071,Minister of the Interior
Q25973167,Minister of Justice
Q28000241,Minister of Labour and Social Affairs
Q27999166,Minister for Parliamentary Relations
Q55044982,Minister of Public Administration
Q54873257,Minister of Public Works
Q33125109,Minister of Regional Affairs and Autonomies
Q55045153,Minister for the South and Territorial Cohesion
Q55168394,Minister of State Investments
Q55076432,Minister for Technological Innovation
Q55096606,Minister of Tourism
Q27999438,Minister of Transports
Q6092845,Minister of Transports and Infrastructures
Q54879307,"Minister of Universities, Science and Technology"
Q55075086,Minister of Youth
Q55121936,Minister without portfolio
Q6360077,President of the Chamber of Deputies
Q7477985,President of the Senate
Q3773751,Governor of the Banca d'Italia
Q3657211,Chief of the Defence Staff


